id,title,rating,votes,genre_ids,language,release_date,runtime,budget,revenue,popularity,overview,number_of_seasons,number_of_episodes,production_countries,networks,creators,main_actors,source_category,type
59804,Moterys meluoja geriau,8.0,1,"[35, 18]",lt,2008-02-04,22.0,,,170.7887,Moterys meluoja geriau is a Lithuanian TV series produced by TV3. It is the most watched Lithuanian drama of all time. It is based on a novel by Daiva Vaitkevičiūtė. The series follows four young women and their love interests.,17,1354.0,['Lithuania'],['TV3'],['Rolandas Skaisgirys'],[],genre_18_2008,tv
61153,Profissão Repórter,7.0,2,"[10763, 99]",pt,2008-06-03,,,,68.7989,"Caco Barcellos and a team of young journalists go to the streets, together, to present different angles of the same fact, from the same news. Each reporter always has a mission to fulfill, which involves tasks both in the performance of the live report and in its completion.",16,467.0,['Brazil'],['TV Globo'],['Caco Barcellos'],['Caco Barcellos'],genre_99_2008,tv
88243,Le Doc du dimanche,5.7,3,[99],fr,2008-02-17,52.0,,,61.6518,,18,511.0,['France'],"['France 5', 'PLANÈTE+']",[],[],genre_99_2008,tv
5918,The Rachel Zoe Project,4.0,4,[99],en,2008-09-09,60.0,,,52.1505,"The Rachel Zoe Project is an American reality documentary series starring celebrity stylist Rachel Zoe. The series premiered on September 9, 2008 on the Bravo television network. The show also airs on Arena in Australia, Really in the United Kingdom, TV3 in Norway, Cosmopolitan TV in Canada, SIC Mul",5,38.0,[],['Bravo'],[],"['Rachel Zoe', 'Brad Goreski', 'Rodger Berman', 'Joy Bryant']",genre_99_2008,tv
22980,Watch What Happens Live with Andy Cohen,5.136,77,"[10767, 35]",en,2009-07-16,30.0,,,560.8859,Bravo network executive Andy Cohen discusses pop culture topics with celebrities and reality show personalities.,23,2865.0,['United States of America'],"['Bravo', 'Peacock']",['Andy Cohen'],['Andy Cohen'],genre_35_2009,tv
17610,NCIS: Los Angeles,7.5,1189,"[10759, 18, 80, 9648]",en,2009-09-22,45.0,,,406.9891,"The exploits of the Los Angeles–based Office of Special Projects (OSP), an elite division of the Naval Criminal Investigative Service that specializes in undercover assignments.",14,323.0,['United States of America'],['CBS'],['Shane Brennan'],"[""Chris O'Donnell"", 'Daniela Ruah', 'Eric Christian Olsen', 'Medalion Rahimi', 'Caleb Castille']",genre_18_2009,tv
18165,The Vampire Diaries,8.313,9221,"[18, 10765]",en,2009-09-10,43.0,,,310.5602,"The story of two vampire brothers obsessed with the same girl, who bears a striking resemblance to the beautiful but ruthless vampire they knew and loved in 1864.",8,171.0,['United States of America'],['The CW'],"['Julie Plec', 'Kevin Williamson']","['Paul Wesley', 'Ian Somerhalder', 'Kat Graham', 'Candice King', 'Zach Roerig']",genre_18_2009,tv
8621,Late Night with Jimmy Fallon,5.989,95,[10767],en,2009-03-02,60.0,,,267.3889,"Late Night with Jimmy Fallon is an American late-night talk show airing weeknights at 12:35 am Eastern/11:35 pm Central on NBC in the United States. The hour-long show premiered on March 2, 2009, and is hosted by actor, comedian and performer Jimmy Fallon, an alumnus of Saturday Night Live. Hip hop/",6,180.0,['United States of America'],['NBC'],"['Jimmy Fallon', 'Lorne Michaels']",['Jimmy Fallon'],popularity.desc_2009,tv
46195,Monogatari,8.1,483,"[16, 35, 18, 9648]",ja,2009-07-03,25.0,,,184.1598,"Although there are still traces of the brief period he became a vampire, third-year high school student Koyomi Araragi is human again. He happens upon others with their own supernatural problems and finds that he can empathize. Koyomi becomes involved in their lives, seeking to help them and occasio",5,72.0,['Japan'],"['BS11', 'Gunma TV', 'Tokyo MX']",[],"['Hiroshi Kamiya', 'Chiwa Saito', 'Yui Horie', 'Maaya Sakamoto', 'Satsuki Yukino']",genre_18_2009,tv
1422,The Middle,7.564,676,[35],en,2009-09-30,22.0,,,183.5904,"The daily mishaps of a married woman and her semi-dysfunctional family and their attempts to survive life in general in the city of Orson, Indiana.",9,215.0,['United States of America'],['ABC'],"['Eileen Heisler', 'DeAnn Heline']","['Patricia Heaton', 'Neil Flynn', 'Charlie McDermott', 'Eden Sher', 'Atticus Shaffer']",genre_35_2009,tv
