title,rating,votes,genre_ids,language,release_date,runtime,budget,revenue,number_of_seasons,number_of_episodes
Don't Start the Murmur,7.1,13,[35],el,2013-10-07,45.0,,,11,792
C.I.D.,6.1,23,"[10759, 80, 18, 9648]",hi,1998-01-21,45.0,,,2,1599
Valley of the Wolves: Ambush,6.2,30,"[18, 10768, 10759, 80]",tr,2007-04-19,120.0,,,10,300
Game Grumps,0.0,0,[35],en,2012-07-18,,,,787,784
Oggy and the Cockroaches,7.4,348,"[16, 35, 10762, 10751]",fr,1999-09-06,7.0,,,8,579
MDR um 4,5.0,4,[10767],de,2014-01-06,,,,11,2493
Come Home Love: Lo and Behold,5.442,43,"[10751, 35, 18]",cn,2017-02-06,22.0,,,1,2522
The X Factor,5.038,92,[10764],en,2004-09-04,,,,15,423
The Legend of Vox Machina,8.233,502,"[16, 10765]",en,2022-01-27,27.0,,,4,36
Great Performances,5.3,19,"[35, 99, 18]",en,1971-01-28,120.0,,,50,659
The Sopranos,8.653,2995,"[80, 18]",en,1999-01-10,,,,6,86
Infinite Challenge,7.6,19,"[10764, 35]",ko,2005-04-23,90.0,,,3,616
Star vs. the Forces of Evil,8.35,1426,"[10759, 16, 35, 10765, 10751]",en,2015-01-18,11.0,,,4,140
Amphibia,8.557,305,"[16, 35, 10762, 10759, 10765, 10751]",en,2019-06-17,11.0,,,3,106
Binnelanders,5.624,97,[10766],af,2005-10-13,,,,21,5112
Magnum P.I.,7.579,304,"[10759, 18, 80]",en,2018-09-24,43.0,,,5,96
Raw,6.768,332,[10764],en,1993-01-11,130.0,,,33,1704
2 Days and 1 Night,7.438,24,"[35, 10764]",ko,2007-08-05,90.0,,,4,880
Homicide: Life on the Street,8.1,131,"[9648, 18, 80]",en,1993-01-31,45.0,,,7,122
The King of Queens,7.1,650,[35],en,1998-09-21,25.0,,,9,207
Sherri,4.2,7,[10767],en,2022-09-12,42.0,,,3,460
The X-Files,8.377,3256,"[9648, 10765, 80]",en,1993-09-10,,,,11,218
My Three Sons,6.5,33,"[35, 10751]",en,1960-09-29,30.0,,,12,380
Impractical Jokers,7.9,375,[35],en,2011-12-15,30.0,,,11,268
Big Brother's Little Brother,5.8,4,[10764],en,2001-05-29,30.0,,,17,860
Big Brother,3.7,16,[10764],en,2001-04-24,90.0,,,16,1265
The Dick Van Dyke Show,7.4,95,[35],en,1961-10-03,30.0,,,5,158
Bones,8.214,3278,"[80, 18]",en,2005-09-13,,,,12,246
Jim Henson's Animal Show with Stinky and Jake,9.5,2,[10762],en,1994-10-03,30.0,,,3,65
Timon and Pumbaa,7.231,635,"[16, 35, 10762, 10751]",en,1995-09-08,22.0,,,8,169
Tyler Perry's The Haves and the Have Nots,7.515,137,"[10766, 18]",en,2013-05-28,45.0,,,8,198
A Case For Two,5.2,14,"[18, 80]",de,1981-09-11,60.0,,,33,300
Breaking Bad,8.927,15689,"[18, 80]",en,2008-01-20,,,,5,62
Full Frontal with Samantha Bee,5.869,88,"[10763, 10767, 35]",en,2016-02-08,21.0,,,7,218
Suidooster,7.091,22,[10766],af,2015-11-16,,,,11,2550
The Philco Television Playhouse,6.286,7,[18],en,1948-10-03,60.0,,,8,267
Nytt på nytt,6.5,10,[35],no,1999-04-09,30.0,,,52,758
Strictly Come Dancing,5.9,36,[],en,2004-05-15,,,,22,558
The Joy Reid Show,4.0,8,"[10763, 10767]",en,2020-07-20,60.0,,,6,658
Who Wants to Be a Millionaire?,6.25,36,[10767],en,1999-08-16,60.0,,,10,1061
Chicago Fire,8.411,2276,[18],en,2012-10-10,42.0,,,13,274
The Middle,7.564,676,[35],en,2009-09-30,22.0,,,9,215
Star Trek: Deep Space Nine,7.883,853,"[10765, 10759, 18]",en,1993-01-03,45.0,,,7,176
WWF Superstars,8.0,3,[10751],en,1986-09-06,60.0,,,16,604
Nick Cannon Presents: Wild 'N Out,8.1,65,[35],en,2005-07-28,30.0,,,21,373
Cannon,6.5,35,"[18, 10759]",en,1971-09-14,60.0,,,5,123
Die Fallers – Eine Schwarzwaldfamilie,3.5,2,"[10751, 18]",de,1994-09-25,30.0,,,31,1257
The Life and Legend of Wyatt Earp,6.579,19,"[18, 37]",en,1955-09-06,,,,6,226
Vivement dimanche,3.0,7,[10767],fr,1998-09-20,,,,23,760
The Marvelous Misadventures of Flapjack,8.0,355,"[10765, 35, 16]",en,2008-06-05,11.0,,,3,90
Pânico Jovem Pan,5.5,4,[10767],pt,2015-01-26,,,,11,872
Moterys meluoja geriau,8.0,1,"[35, 18]",lt,2008-02-04,22.0,,,17,1354
Breaking Bad,8.927,15689,"[18, 80]",en,2008-01-20,,,,5,62
King of the Hill,7.3,604,"[16, 35, 10751]",en,1997-01-12,22.0,,,14,265
The Damage Report with John Iadarola,7.5,2,[10763],en,2018-11-28,61.0,,,5,814
Hogan's Heroes,7.518,168,"[10768, 35]",en,1965-09-17,25.0,,,6,168
Squid Game,7.862,15891,"[10759, 9648, 18]",ko,2021-09-17,,,,3,22
R. L. Stine's The Haunting Hour,8.133,206,"[10751, 18]",en,2010-10-29,25.0,,,4,76
The Mary Tyler Moore Show,7.5,76,[35],en,1970-09-19,25.0,,,7,168
Pictionary,3.5,2,[10764],en,2022-09-12,22.0,,,3,471
PBS News Weekend,4.8,12,[10763],en,2013-09-07,25.0,,,13,1227
Late Night with Conan O'Brien,7.178,143,"[35, 10767]",en,1993-09-13,62.0,,,16,2724
Law & Order: Criminal Intent,7.572,353,[18],en,2001-09-30,42.0,,,10,195
Un medico in famiglia,7.589,28,"[35, 10751]",it,1998-12-06,,,,10,286
The Last of Us,8.516,6228,[18],en,2023-01-15,,,,2,16
Miles from Tomorrowland,7.125,24,"[10751, 16, 10759, 10765]",en,2015-02-06,11.0,,,3,144
A Place in the Sun,7.0,3,[10764],en,2002-11-27,45.0,,,11,426
Marvel's Guardians of the Galaxy,7.012,83,"[10759, 16]",en,2015-09-05,22.0,,,3,77
Dawson's Creek,7.3,557,"[18, 10766]",en,1998-01-20,44.0,,,6,128
Abot-Kamay Na Pangarap,4.3,3,"[18, 10751]",tl,2022-09-05,,,,1,659
Off Camera with Sam Jones,4.0,4,[10767],en,2014-02-06,58.0,,,12,218
Alles was zählt,5.0,7,"[10766, 18]",de,2006-09-04,24.0,,,16,3656
Shameless,8.16,2939,"[18, 35]",en,2011-01-09,,,,11,134
Real Time with Bill Maher,6.002,221,"[35, 10767]",en,2003-02-21,60.0,,,23,700
The Voice : La Plus Belle Voix,7.2,4,[10764],fr,2012-02-25,115.0,,,15,398
El Cor de la Ciutat,5.3,5,[10766],ca,2000-09-11,30.0,,,10,1906
The Bachelor,5.3,64,[10764],en,2002-03-25,,,,29,313
As the Saying Goes,7.333,9,"[35, 18]",es,2011-02-01,50.0,,,13,886
Kashmakash Zindagi Ki,0.0,0,[18],hi,2006-11-20,30.0,,,1,575
Let's Play Minecraft,7.0,3,[35],en,2012-05-11,,,,11,527
DC's Legends of Tomorrow,7.275,2355,"[10759, 10765, 18]",en,2016-01-21,42.0,,,7,110
Schitt's Creek,7.731,582,[35],en,2015-01-13,22.0,,,6,79
The George Burns and Gracie Allen Show,6.941,17,[35],en,1950-10-12,30.0,,,8,291
The Mentalist,8.361,3933,"[80, 18, 9648]",en,2008-09-23,,,,7,151
Lost,7.9,4565,"[9648, 10759, 18]",en,2004-09-22,,,,6,118
Suits,8.222,5298,[18],en,2011-06-23,42.0,,,9,134
Switched at Birth,7.457,207,"[18, 10751]",en,2011-06-06,43.0,,,5,103
Independent Lens,6.467,15,[99],en,1999-08-09,60.0,,,26,523
Los ricos también lloran,5.0,17,"[18, 10766]",es,1979-04-09,,,,1,248
My Family,8.643,14,"[16, 35]",ja,2002-04-19,,,,3,694
It's Not Rocket Science!,8.2,13,[99],fr,1993-09-19,26.0,,,1,573
The Beverly Hillbillies,6.866,123,"[35, 10751]",en,1962-09-26,25.0,,,9,274
Britain's Got Talent,5.4,72,[10764],en,2007-06-09,60.0,,,18,290
Grimoire of Zero,6.9,46,"[16, 10765, 10759, 18, 35]",ja,2017-04-16,24.0,,,1,12
The Story of Tracy Beaker,6.411,28,"[10762, 10751, 16]",en,2002-01-08,15.0,,,5,120
Lois & Clark: The New Adventures of Superman,6.955,459,"[10759, 18, 10765, 35]",en,1993-09-12,46.0,,,4,87
Love Island,7.157,153,[10764],en,2019-07-09,,,,7,215
Neo Angelique Abyss,4.2,4,"[10765, 16, 18, 35]",ja,2008-04-06,30.0,,,2,26
NDR Talk Show,6.5,4,[10767],de,1979-02-09,90.0,,,43,618
Bones,8.214,3278,"[80, 18]",en,2005-09-13,,,,12,246
The Good Wife,7.599,611,[18],en,2009-09-22,43.0,,,7,156
The Masked Singer,7.7,115,[10764],en,2019-01-02,43.0,,,13,173
We Were Liars,6.238,21,"[9648, 18]",en,2025-06-18,,,,1,8
The Drew Barrymore Show,5.917,12,[10767],en,2020-09-14,43.0,,,5,382
Devon Ke Dev...Mahadev,9.1,7,[18],hi,2011-12-18,22.0,,,36,820
Jake and Amir,5.0,4,[35],en,2007-04-23,,,,1,681
Jodha & Akbar,5.464,14,"[18, 10751]",hi,2013-06-18,24.0,,,1,565
Marvel's Avengers,7.569,654,"[10759, 16, 10765]",en,2013-05-26,22.0,,,5,126
Doc McStuffins,5.946,65,"[16, 10762, 10751]",en,2012-03-23,,,,5,242
My Little Old Boy,5.5,6,"[10764, 10767]",ko,2016-08-26,100.0,,,1,447
Project Runway,6.2,103,[10764],en,2004-12-01,43.0,,,21,280
Dexter,8.217,4702,"[80, 18, 9648]",en,2006-10-01,60.0,,,8,96
The Best of WWE,9.7,3,[10764],en,2020-03-24,,,,5,126
Ninjago: Masters of Spinjitzu,7.923,737,"[16, 10759, 10765, 35]",en,2012-01-11,22.0,,,16,210
Geet Hui Sabse Parayi,10.0,1,[],hi,2010-04-05,29.0,,,1,470
Aquarion,6.7,22,"[10759, 16, 18, 10765]",ja,2005-04-05,30.0,,,4,90
The Tyra Banks Show,5.0,21,[10767],en,2005-09-12,60.0,,,4,507
Ready Steady Cook,0.0,0,[10764],en,1994-10-24,30.0,,,21,1899
Suidooster,7.091,22,[10766],af,2015-11-16,,,,11,2550
Never Mind the Buzzcocks,6.981,53,[35],en,1996-11-12,29.0,,,28,283
Homicide,4.3,3,"[18, 80, 10759]",en,1964-10-20,50.0,,,14,515
Brooklyn Nine-Nine,8.21,3583,"[35, 80]",en,2013-09-17,21.0,,,8,152
The Yogi Bear Show,7.0,221,"[16, 35, 10751, 10762]",en,1961-01-30,7.0,,,2,97
Summer House,6.933,15,[10764],en,2017-01-13,45.0,,,9,135
Senora Acero,7.842,631,"[18, 80, 10766]",es,2014-09-23,43.0,,,5,395
Thirty-Minute Theatre,3.8,5,[18],en,1965-10-07,30.0,,,8,285
Stargate SG-1,8.3,1659,"[10765, 10759]",en,1997-07-27,42.0,,,10,214
EastEnders,4.118,212,"[10766, 18, 80]",en,1985-02-19,30.0,,,41,7042
Scarecrow and Mrs. King,6.3,39,"[10759, 18, 80]",en,1983-10-03,60.0,,,4,88
Lucifer,8.448,15024,"[80, 10765]",en,2016-01-25,45.0,,,6,93
