title,rating,votes,genre_ids,language,release_date,runtime,budget,revenue,number_of_seasons,number_of_episodes
"Marcus Welby, M.D.",6.5,19,[18],en,1969-09-23,60.0,,,7,171
Bananas in Pyjamas,5.316,49,"[10762, 35]",en,1992-07-20,5.0,,,6,307
Crayon Shin-chan Spin-off,7.8,5,"[10762, 16, 35]",ja,2016-08-03,8.0,,,4,52
Big Brother Mexico,2.0,2,"[10764, 18]",es,2002-03-03,60.0,,,4,373
The Cosby Show,7.027,432,"[35, 10751]",en,1984-09-20,24.0,,,8,197
Liv and Maddie,8.1,390,"[35, 10751, 18]",en,2013-07-19,24.0,,,4,80
Pushpa Impossible,7.0,1,"[10751, 18, 35]",hi,2022-06-06,,,,1,761
"Niños Ricos, Pobres Padres",0.0,0,[18],en,2009-07-07,42.0,,,1,131
8 Out of 10 Cats,7.125,44,[35],en,2005-06-03,30.0,,,22,223
JTBC Newsroom,9.5,2,[10763],ko,2014-09-22,90.0,,,7,321
Saturday Night Live,6.962,453,"[35, 10763]",en,1975-10-11,,,,50,989
Saint Seiya Omega,7.913,224,"[10765, 16, 10759]",ja,2012-04-01,25.0,,,1,97
The Spooktacular New Adventures of Casper,6.4,30,"[16, 35, 10765, 10762]",en,1996-02-24,10.0,,,4,144
Puffins,10.0,1,"[16, 10751, 10762, 35]",it,2020-11-27,,,,18,348
NARUTO Spin-Off: Rock Lee & His Ninja Pals,6.3,49,"[16, 35, 10759, 10765]",ja,2012-04-03,24.0,,,1,51
Red vs. Blue,7.568,73,"[16, 35, 10765]",en,2003-04-01,8.0,,,19,351
Aktenzeichen XY… ungelöst,8.125,8,"[10764, 99, 80]",de,1967-10-20,90.0,,,59,622
Chibi Maruko-chan,7.75,20,"[16, 35]",ja,1990-01-07,25.0,,,2,1627
FBI,7.899,844,"[80, 10759, 18]",en,2018-09-25,43.0,,,7,135
Naruto Shippūden,8.5,8357,"[16, 10759, 10765]",ja,2007-02-15,25.0,,,20,500
Sa Puso Ko Iingatan Ka,0.0,0,[18],tl,2001-06-18,30.0,,,1,433
The Paul O'Grady Show,4.6,11,"[35, 10767]",en,2004-10-11,60.0,,,14,764
Extra 3,7.4,11,"[35, 99]",de,2004-02-26,43.0,,,22,599
Bosch,7.9,626,"[9648, 18, 80]",en,2015-01-14,45.0,,,7,68
Night Stand with Dick Dietrick,7.0,1,[35],en,1995-05-26,30.0,,,2,96
María Celeste,9.0,1,"[18, 10766]",es,1994-05-02,45.0,,,1,152
The Wheel of Time,7.66,2254,"[10765, 18]",en,2021-11-18,,,,3,24
Casi Ángeles,7.2,25,[],es,2007-03-21,60.0,,,4,579
Maury,5.4,40,[10767],en,1991-09-09,60.0,,,24,1685
The Incredible Dr. Pol,8.344,32,"[10764, 99]",en,2011-10-29,44.0,,,24,271
Murdoch Mysteries,7.7,262,"[9648, 18]",en,2008-01-24,60.0,,,18,309
See,8.103,2621,"[18, 10765, 10759]",en,2019-11-01,,,,3,24
Tai Chi Chasers,9.0,1,[16],ko,2007-04-29,27.0,,,1,39
Urusei Yatsura,7.513,38,"[16, 35, 10765, 18]",ja,1981-10-14,26.0,,,1,218
Chappelle's Show,8.1,391,[35],en,2003-01-22,22.0,,,3,28
Gym Tony,4.7,7,[35],es,2014-12-17,40.0,,,4,313
Numb3rs,7.0,391,"[80, 18, 9648]",en,2005-01-23,45.0,,,6,118
Z Nation,7.3,899,"[9648, 10759, 18]",en,2014-09-12,44.0,,,5,68
Rin-ne,7.6,11,"[35, 16, 10749]",ja,2015-04-04,24.0,,,3,75
Clase 406,7.9,253,[18],es,2002-07-01,,,,4,350
Community,7.996,1847,[35],en,2009-09-17,,,,6,110
Uppdrag granskning,6.8,5,"[99, 10763]",sv,2001-01-17,60.0,,,25,619
WWE Superstars,7.4,31,"[10759, 18]",en,2009-04-16,60.0,,,8,398
Stargate Atlantis,8.0,1079,"[10765, 10759, 18]",en,2004-07-15,45.0,,,5,100
Eek! The Cat,6.8,112,"[16, 10762]",en,1992-09-11,30.0,,,5,112
Kaahin Kissii Roz,5.0,7,[18],hi,2001-04-23,24.0,,,1,895
Xena: Warrior Princess,7.526,1310,"[18, 10759, 10765]",en,1995-09-04,44.0,,,6,134
Dragnet,6.4,32,"[18, 80]",en,1951-12-16,30.0,,,8,276
Unforgotten,7.562,169,"[18, 80, 9648]",en,2015-10-08,46.0,,,6,36
Hozuki's Coolheadedness,7.1,30,"[10765, 16, 35]",ja,2014-01-10,24.0,,,2,39
The F.B.I.,5.5,23,"[80, 18, 9648]",en,1965-09-19,60.0,,,9,241
Barbara Mandrell and the Mandrell Sisters,5.0,1,[35],en,1980-11-18,60.0,,,2,35
The Irregular at Magic High School,7.8,284,"[10759, 16, 10765]",ja,2014-04-06,24.0,,,3,52
Camera Café,6.774,53,[35],it,2003-10-06,10.0,,,6,1769
Golden Boy,8.3,66,"[10751, 18]",tr,2022-09-23,120.0,,,3,101
Q&A,3.8,3,"[10763, 10767]",en,2008-05-22,60.0,,,14,549
Party of Five,7.0,118,[18],en,1994-09-12,42.0,,,6,142
Twin Peaks,8.341,2257,"[18, 9648]",en,1990-04-08,,,,3,48
NOVA,7.0,127,[99],en,1974-03-03,55.0,,,52,1003
McLeod's Daughters,7.3,53,[18],en,2001-08-08,45.0,,,8,224
Khatron Ke Khiladi,5.2,5,[10764],hi,2008-07-21,70.0,,,14,271
Ghost Whisperer,8.077,1777,"[10765, 9648, 18]",en,2005-09-23,,,,5,107
Spider-Man,8.286,1056,"[16, 10759]",en,1994-11-19,22.0,,,5,65
Euphoria,8.3,10063,[18],en,2019-06-16,,,,2,16
Leśniczówka,7.0,1,[18],pl,2018-03-02,22.0,,,4,352
Batang Quiapo,6.9,108,"[18, 10759, 35]",tl,2023-02-13,30.0,,,3,661
Cold Justice,7.3,33,"[80, 99]",en,2013-09-03,42.0,,,7,122
Battlestar Galactica,8.209,1617,"[10765, 10759, 18]",en,2004-10-18,44.0,,,4,73
Secret Story: The House of Secrets,5.7,6,[10764],es,2021-09-09,200.0,,,2,236
GG Bond,9.0,7,"[16, 10762, 10765, 10759]",zh,2006-07-01,,,,41,1324
The Courtship of Eddie's Father,6.0,16,"[35, 10751, 10762]",en,1969-09-17,30.0,,,3,73
Winx Club,8.05,503,"[10762, 16, 10765, 10759, 9648]",it,2004-01-28,23.0,,,8,208
Harry and His Bucket Full of Dinosaurs,6.2,6,"[16, 35]",en,2005-11-07,11.0,,,2,109
Sana Ay Ikaw Na Nga,0.0,0,[18],tl,2001-12-03,,,,1,361
Men Wanted,3.0,1,"[10766, 18]",es,2007-02-12,60.0,,,1,260
A Fazenda,2.9,13,[10764],pt,2009-05-31,,,,16,1440
Las Fierbinţi,8.3,20,[35],ro,2012-03-01,50.0,,,27,743
Batwheels,7.0,20,"[10762, 16, 35]",en,2022-10-15,12.0,,,2,74
Wounded Past,3.5,4,"[18, 10766]",pt,2016-10-03,45.0,,,1,155
My Name Is Earl,7.666,1021,[35],en,2005-09-20,,,,4,92
Our People,8.1,19,"[10751, 35]",tr,1989-01-07,60.0,,,15,459
Spécial cinéma,0.0,0,[10767],fr,1974-09-25,,,,24,581
On va se le dire,2.0,1,[10767],fr,2019-09-09,64.0,,,4,362
Belle et Bum,0.0,0,[10767],fr,2003-09-20,46.0,,,21,142
Barsatein,0.0,0,[18],hi,2023-07-10,28.0,,,1,160
The Life Of Riley,6.0,2,[35],en,1953-01-02,30.0,,,6,203
Person of Interest,8.075,1838,"[18, 10759, 80, 10765]",en,2011-09-22,43.0,,,5,103
Ohanahan,0.0,0,"[18, 10751]",ja,1966-04-04,15.0,,,1,310
The Jonathan Ross Show,5.1,22,"[10767, 35]",en,2011-09-03,50.0,,,22,244
Omnibus,7.2,8,[99],en,1967-10-13,60.0,,,36,717
Crossing Jordan,7.166,151,[18],en,2001-09-24,42.0,,,6,117
Number 96,3.8,5,"[35, 80, 18]",en,1972-03-13,60.0,,,6,1100
Death in Paradise,7.439,280,"[35, 80, 18, 9648]",en,2011-10-25,60.0,,,14,112
Beyond the Horizon,6.5,6,"[10766, 18]",pt,2013-11-04,,,,1,155
Tokyo Ghoul,8.3,2378,"[16, 18, 10765]",ja,2014-07-04,24.0,,,4,48
Duck Quacks Don't Echo,5.7,9,[35],en,2014-02-07,45.0,,,6,47
Recess,7.695,484,"[16, 10762, 35]",en,1997-09-13,11.0,,,6,127
Siya Ke Ram,8.3,3,"[99, 18, 10751]",hi,2015-11-16,,,,6,304
We Bare Bears,7.72,1801,"[10751, 35, 16, 10762]",en,2015-08-24,11.0,,,4,138
Mork & Mindy,7.1,145,"[35, 10751]",en,1978-09-14,30.0,,,4,95
Ghar Ek Mandir,2.8,4,[10766],hi,2000-04-24,27.0,,,1,360
How to Survive a Marriage,3.5,2,[10766],en,1974-01-07,30.0,,,2,172
Cheers,7.567,608,[35],en,1982-09-30,24.0,,,11,269
L'indice Mc$ween,5.0,1,[10764],fr,2017-09-14,23.0,,,6,125
Mannix,6.7,52,"[10759, 80, 9648, 18]",en,1967-09-16,52.0,,,8,194
Big Brother (NL),0.0,0,[],en,1999-09-16,25.0,,,6,479
Westworld,8.0,5740,"[10765, 37]",en,2016-10-02,,,,4,36
Love of Life,5.0,1,[10766],en,1951-09-24,30.0,,,3,219
Karishma: The Miracles of Destiny,0.0,0,[18],hi,2003-08-25,20.0,,,1,262
Kiteretsu Daihyakka,8.1,12,"[16, 35]",ja,1988-03-27,25.0,,,1,331
Silo,8.155,1599,"[10765, 18]",en,2023-05-04,,,,2,20
The♥Kabocha Wine,6.8,5,"[16, 35]",ja,1982-07-05,25.0,,,1,95
MasterChef Australia,6.887,75,[10764],en,2009-04-27,75.0,,,17,1054
Undeniable with Dan Patrick,7.7,3,[10767],en,2015-11-18,60.0,,,6,60
Story of a Mermaid,5.0,9,"[18, 10751]",ko,2002-06-24,45.0,,,1,246
Reto 4 Elementos,6.619,63,"[10764, 99]",es,2018-03-19,,,,4,244
The Dinah Shore Chevy Show,6.0,4,[],en,1956-10-05,60.0,,,7,159
Adventures from the Book of Virtues,9.0,4,"[16, 10762]",en,1996-09-02,30.0,,,3,39
Viva la pipol,2.0,1,[10767],es,2019-03-11,105.0,,,1,164
Spaceship Sagittarius,6.333,6,"[16, 10759, 10765, 35]",ja,1986-01-10,25.0,,,1,77
Der Club,0.0,0,[10767],de,1985-01-12,,,,40,1232
Ningen Kansatsu Variety MONITORING,9.0,1,[],ja,2012-10-24,,,,9,266
School,6.5,4,[18],pl,2014-09-01,42.0,,,10,708
Archer,7.956,1305,"[35, 10759, 16]",en,2009-09-17,22.0,,,14,140
På spåret,6.538,13,[10751],sv,1987-09-05,60.0,,,35,383
Wittekerke,4.5,2,[18],nl,1993-08-31,45.0,,,15,1066
Queer As Folk,8.223,508,[18],en,2000-12-03,45.0,,,5,83
Stolen Dreams,5.0,2,[18],el,2011-12-11,43.0,,,4,526
Bakugan,5.4,22,"[16, 10762, 10765, 10759]",en,2018-12-23,11.0,,,6,338
You Are The One,7.5,37,"[35, 18]",es,2006-01-16,60.0,,,1,230
Ted Lasso,8.4,1973,"[18, 35]",en,2020-08-14,,,,3,34
B. J. and the Bear,5.5,20,"[18, 35]",en,1979-02-10,60.0,,,3,46
Home Improvement,7.4,649,[35],en,1991-09-17,22.0,,,8,204
Big Brother,5.0,240,[10764],en,2000-07-05,,,,27,969
The Originals,8.592,3435,"[10765, 18, 9648]",en,2013-10-03,45.0,,,5,92
低头不见抬头见,0.0,0,[35],zh,2007-11-09,,,,1,360
"Softly, Softly",5.0,1,[18],en,1966-01-05,50.0,,,12,269
Makeover! Dramatic Before & After,0.0,0,[99],ja,2002-04-28,60.0,,,4,357
30 Rock,7.449,717,[35],en,2006-10-11,22.0,,,7,138
The Wonderful World of Disney,8.0,2,[],en,1961-09-24,60.0,,,12,260
Food and Drink,5.0,1,[],en,1982-07-06,30.0,,,23,370
Aria,8.5,28,"[16, 10765, 18]",ja,2005-10-06,24.0,,,3,52
The Shield,8.1,778,"[80, 18, 10759]",en,2002-03-12,45.0,,,7,88
Dittsche - Das wirklich wahre Leben,6.8,12,[35],de,2004-02-29,,,,30,261
Los exitosos Pells,0.0,0,"[35, 18, 10749]",es,2008-11-05,90.0,,,1,160
Wo Shi Bu Bai Chi,0.0,0,"[16, 10762]",zh,2019-07-31,1.0,,,1,785
Portia Faces Life,1.0,1,[],en,1954-04-05,15.0,,,2,324
Mala conducta,2.0,1,"[10766, 35]",es,2008-03-03,60.0,,,1,182
House Hunters International,6.3,26,[10764],en,2006-03-06,23.0,,,200,1601
Green Eggs and Ham,8.0,64,"[10762, 10751, 16, 35, 10759]",en,2019-11-08,28.0,,,2,23
Bettys Diagnose,4.8,8,[18],de,2015-01-09,45.0,,,11,244
Abenteuer Leben täglich,0.0,0,[99],de,2014-01-02,,,,9,2041
Medabots,8.29,183,"[10765, 16, 10759, 35, 10762]",ja,1999-07-02,23.0,,,3,91
Michael McIntyre's The Wheel,5.8,6,[10764],en,2020-11-28,59.0,,,5,57
Bade Achhe Lagte Hai,7.0,2,"[18, 10751, 10766]",hi,2011-05-30,24.0,,,4,790
Einer wird gewinnen,7.0,1,[10767],de,1964-01-25,90.0,,,1,85
All Elite Wrestling: Rampage,7.2,19,"[10759, 18]",en,2021-08-13,44.0,,,4,180
WCW Monday Nitro,8.4,32,"[10759, 18]",en,1995-09-04,120.0,,,7,292
VeggieTales in the City,6.3,14,"[16, 35, 10751, 10762]",en,2017-02-24,12.0,,,3,53
Die ZDF-Hitparade,0.0,0,[10763],de,1969-01-18,45.0,,,32,368
Six Feet Under,8.1,1003,[18],en,2001-06-03,,,,5,63
High School D×D,8.545,1935,"[16, 10759, 35, 10765]",ja,2012-01-06,,,,4,49
The Challenge,7.3,67,[10764],en,1998-04-20,42.0,,,41,626
.hack,6.9,32,"[10759, 16, 9648]",ja,2002-04-04,25.0,,,3,64
Extreme Makeover: Home Edition,6.6,51,[10764],en,2003-12-03,60.0,,,9,200
The Fresh Beat Band,6.6,8,[10751],en,2009-08-24,22.0,,,3,67
Spin City,7.1,302,"[35, 18]",en,1996-09-17,22.0,,,6,145
Bluey,8.6,618,"[16, 10762, 35]",en,2018-10-01,7.0,,,3,153
A Grande Família,8.4,36,"[35, 10751]",pt,2001-03-29,30.0,,,14,485
Severance,8.409,2025,"[18, 9648, 10765]",en,2022-02-17,,,,3,19
The Avengers,7.729,140,"[10759, 80, 10765]",en,1961-01-07,50.0,,,6,161
Dragon Quest: The Adventure of Dai,8.164,122,"[16, 10765, 10759, 35]",ja,1991-10-17,24.0,,,1,46
House of the Dragon,8.337,5370,"[10765, 18, 10759]",en,2022-08-21,,,,3,19
Futurama,8.375,3437,"[16, 35, 10765]",en,1999-03-28,,,,9,144
Pete the Cat,8.0,6,"[16, 10762]",en,2017-12-25,22.0,,,2,78
Let's Dance,6.0,7,[10764],de,2006-04-03,120.0,,,18,208
Voltron: Defender of the Universe,7.793,58,"[16, 10765, 10762]",en,1984-09-10,22.0,,,2,72
Haikyu!!,8.618,1409,"[16, 35, 18]",ja,2014-04-06,24.0,,,4,85
The Howard Stern Show,2.3,3,"[10767, 35]",en,1994-06-18,60.0,,,9,159
Grill den Henssler,5.0,6,[10764],de,2013-09-29,,,,21,131
Washington Week with The Atlantic,9.5,2,"[10763, 10767, 10768]",en,1967-02-23,27.0,,,59,505
Beyblade: Metal Saga,7.3,35,"[16, 9648, 10759, 10762, 10765]",ja,2009-04-05,21.0,,,4,192
True Detective,8.287,3671,"[18, 9648]",en,2014-01-12,,,,4,30
Brookside,6.1,19,"[10766, 18]",en,1982-11-02,90.0,,,22,2850
Contigo en la mañana,2.0,1,[10763],es,2019-03-11,300.0,,,5,644
Clarence,7.9,305,"[16, 35]",en,2014-04-14,11.0,,,3,129
The White Lotus,7.609,1111,"[35, 18, 9648]",en,2021-07-11,,,,3,21
Newhart,7.1,53,"[35, 18]",en,1982-10-02,30.0,,,8,184
Star Wars: The Bad Batch,8.204,1050,"[16, 10759, 10765]",en,2021-05-04,,,,3,47
Klamottenkiste,10.0,1,"[10751, 35]",de,1981-07-02,15.0,,,1,120
Mad Men,8.121,1315,[18],en,2007-07-19,,,,7,92
Basilisk,7.4,94,"[16, 10768, 10759, 10765]",ja,2005-04-12,24.0,,,2,48
The Unit,7.3,197,"[10759, 18]",en,2006-03-07,42.0,,,4,69
Gravity Falls,8.593,3170,"[16, 35, 9648, 10765, 10762, 10759, 10751]",en,2012-06-15,22.0,,,2,40
Mission Outer Space Srungle,6.0,1,"[16, 10759, 10765]",ja,1983-01-21,24.0,,,1,53
Oshin,6.7,18,"[18, 10751, 10768]",ja,1983-04-04,15.0,,,1,297
MacGyver,7.72,863,"[18, 10759, 80]",en,1985-09-29,45.0,,,7,139
Sunday with Laura Kuenssberg,2.7,5,"[10763, 10767]",en,2022-09-04,59.0,,,5,125
Unusual Suspects,8.0,16,"[99, 80]",en,2010-06-21,,,,8,102
InuYasha,8.582,2019,"[16, 10765, 10759, 35, 9648]",ja,2000-10-16,24.0,,,2,193
Homeland,7.566,2333,"[18, 10768, 80]",en,2011-10-02,55.0,,,8,96
Ela sti thesi mou,5.0,3,"[35, 10766]",el,2016-10-03,45.0,,,5,934
NewsRadio,7.339,115,[35],en,1995-03-21,,,,5,97
Das perfekte Promi-Dinner,0.0,0,"[10767, 10764]",de,2006-08-21,45.0,,,15,247
The Waltons,7.129,97,[18],en,1972-09-14,50.0,,,9,210
Blue Building Detectives,9.2,5,"[10762, 10759, 35]",pt,2012-07-15,,,,20,463
Sonny with a Chance,7.8,333,"[35, 10751]",en,2009-02-08,22.0,,,2,46
Genshin Impact Fanfiction,0.0,0,[],zh,2021-02-06,,,,7,42
Niji,0.0,0,[18],ja,1970-04-06,15.0,,,1,310
Nerds And Monsters,1.0,1,"[16, 10762]",en,2014-03-12,11.0,,,2,80
War of the Worlds,6.2,29,"[18, 10759]",en,1988-10-07,60.0,,,2,44
No Hiding Place,3.7,3,"[80, 18]",en,1959-09-16,60.0,,,10,235
Habang Kapiling Ka,0.0,0,[18],tl,2002-11-04,30.0,,,1,248
Ugly Betty,6.3,245,"[35, 18]",en,2006-09-28,43.0,,,4,85
Re:ZERO -Starting Life in Another World-,7.8,517,"[16, 35, 10759, 10765]",ja,2016-04-04,25.0,,,1,66
Rocko's Modern Life,7.4,290,"[16, 35, 10762]",en,1993-09-18,12.0,,,4,100
The Mysteries of Laura,7.1,108,"[9648, 80, 18]",en,2014-09-17,42.0,,,2,38
Lark Rise to Candleford,8.3,31,[18],en,2008-01-13,60.0,,,4,40
Farscape,7.9,549,"[10765, 10759, 18]",en,1999-03-19,60.0,,,4,88
Guy's Big Bite,10.0,2,[10764],en,2006-06-24,22.0,,,19,263
Kotikatu,3.5,2,[18],fi,1995-08-24,44.0,,,18,699
Choti Sarrdaarni,0.0,0,[18],hi,2019-07-01,24.0,,,1,810
Fargo,8.296,2898,"[80, 18]",en,2014-04-15,,,,5,51
Castle Einstein,5.7,9,"[10751, 18]",de,1998-09-04,25.0,,,28,1088
The Dick Clark Show,5.5,2,[],en,1958-02-15,30.0,,,3,134
Rocket Monkeys,7.0,2,"[10765, 16, 35]",en,2013-01-10,11.0,,,3,130
The Parkers,8.2,30,[35],en,1999-08-30,30.0,,,5,110
A Country Practice,5.6,13,"[10766, 18]",en,1981-11-18,48.0,,,13,932
The Eric Andre Show,7.9,144,[35],en,2012-05-20,11.0,,,6,60
The Haunting of Hill House,8.1,2443,"[9648, 18]",en,2018-10-12,,,,1,10
Wizards of Waverly Place,8.469,991,"[35, 10765, 10762]",en,2007-10-12,23.0,,,4,109
Forged in Fire,7.8,144,[10764],en,2015-06-22,42.0,,,11,261
Click,6.1,10,"[10763, 99]",en,2000-04-06,30.0,,,26,1006
Red Table Talk,6.4,8,[10767],en,2018-05-07,25.0,,,5,126
Alarm for Cobra 11: The Motorway Police,6.521,118,"[18, 35, 10759]",de,1996-03-12,45.0,,,50,387
Wedding Ring,2.0,2,"[80, 18, 10766]",ru,2008-11-03,,,,1,715
Bonanza,7.5,443,"[37, 10759, 18, 10751]",en,1959-09-12,49.0,,,14,431
Once Upon a Time,7.373,2339,"[18, 10765]",en,2011-10-23,43.0,,,7,156
The Care Bears,5.982,85,"[10762, 16, 10765]",en,1985-09-14,30.0,,,4,98
Grachi,7.154,13,"[10765, 18, 35, 10766]",es,2011-05-02,45.0,,,3,206
Tokyo Encounter,0.0,0,[],ja,2010-05-02,30.0,,,2,93
The Phil Silvers Show,6.952,21,[35],en,1955-09-20,30.0,,,4,144
13 Reasons Why,7.6,4315,"[18, 9648]",en,2017-03-31,,,,4,49
Yeti Tales,0.0,0,[10762],fr,2016-12-04,8.0,,,6,271
Kuruluş Osman,8.0,275,"[10768, 10759, 18]",tr,2019-11-20,120.0,,,6,193
The Tony Danza Show,6.1,7,[10767],en,2004-09-13,60.0,,,2,328
Lola… Once Upon a Time,7.9,130,"[18, 10766]",es,2007-02-26,,,,1,225
Australian Story,4.8,5,"[99, 10763]",en,1996-05-29,30.0,,,30,1080
The Dungeon Run,0.0,0,[10765],en,2019-04-24,,,,3,150
The New Adventures of Mighty Mouse and Heckle & Jeckle,5.9,9,[16],en,1979-09-08,,,,1,96
La Vida Lena,0.0,0,[18],tl,2020-11-14,50.0,,,3,170
Madhubala – Ek Ishq Ek Junoon,10.0,1,[18],hi,2012-05-28,30.0,,,1,381
Foster's Home for Imaginary Friends,7.799,487,"[10762, 16, 10751, 10765, 35]",en,2004-08-13,30.0,,,6,79
Umechan Sensei,8.0,3,[18],ja,2012-04-02,15.0,,,1,156
How Do They Do It?,7.5,36,[99],en,2006-05-06,22.0,,,17,287
Jede Menge Leben,6.0,1,[18],de,1995-03-08,25.0,,,1,312
ECW on TNN,8.9,7,"[10759, 18]",en,1999-08-27,60.0,,,2,59
Studio One,5.0,12,[18],en,1948-11-07,60.0,,,10,466
SNL Korea,8.2,5,[35],ko,2011-12-03,90.0,,,9,207
TV Animal Farm,6.667,3,"[10751, 10764]",ko,2001-05-06,,,,1,1194
The Story of Ming Lan,7.3,33,[18],zh,2018-12-23,45.0,,,1,78
Big Brother VIP Mexico,4.3,3,"[10764, 18]",es,2002-06-30,60.0,,,5,274
Xplay,8.5,2,[],en,2003-04-28,30.0,,,10,643
Shaun the Sheep,7.7,251,[10762],en,2007-03-05,7.0,,,6,170
American Greed,8.1,13,"[99, 80]",en,2007-06-21,43.0,,,15,228
Lost in Space,7.525,1714,"[10765, 10759, 18]",en,2018-04-13,56.0,,,3,28
The Lord of the Rings: The Rings of Power,7.287,3336,"[10759, 10765, 18]",en,2022-09-01,,,,3,16
Scooby's Laff-A Lympics,8.141,128,"[16, 35, 10762, 10751, 9648]",en,1977-09-10,30.0,,,2,94
MASHLE: MAGIC AND MUSCLES,8.3,531,"[16, 35, 10759, 10765]",ja,2023-04-08,24.0,,,1,24
Hayate the Combat Butler,6.7,24,"[16, 35]",ja,2007-04-01,25.0,,,4,101
WIND BREAKER,8.03,132,"[16, 10759]",ja,2024-04-05,24.0,,,1,25
Star Wars: Forces of Destiny,5.117,64,"[16, 10765, 10759, 10751]",en,2017-07-03,4.0,,,2,32
The Looney Tunes Show,8.073,511,"[16, 35, 10751, 10762]",en,2011-05-03,22.0,,,2,52
Cinemassacre's Monster Madness,9.333,3,[99],en,2007-10-01,,,,18,376
Pennyworth: The Origin of Batman's Butler,7.9,353,"[18, 80]",en,2019-07-28,54.0,,,3,30
Mercy for None,8.074,68,"[10759, 18]",ko,2025-06-06,,,,1,8
Sailor Moon,8.381,971,"[10759, 16, 35, 10765, 10762]",ja,1992-03-07,24.0,,,5,200
Soy tu dueña,7.698,573,[18],es,2010-06-15,,,,1,146
The Class,7.2,6,[10751],da,2016-08-22,10.0,,,18,1001
Gran Hermano,4.6,16,[10764],es,2000-04-23,160.0,,,19,502
WWE Confidential,10.0,3,"[10759, 99, 18]",en,2002-05-25,60.0,,,3,81
The Kitchen,3.591,11,"[10764, 10751, 10767, 18]",en,2014-01-04,60.0,,,39,523
My Teen Romantic Comedy SNAFU,8.3,533,"[16, 35, 18]",ja,2013-04-05,24.0,,,3,38
The Last Leg,5.6,25,[10767],en,2013-01-25,45.0,,,32,287
ABC Afterschool Special,6.429,14,[18],en,1972-10-04,60.0,,,25,143
Ben Casey,5.6,14,[18],en,1961-10-02,60.0,,,5,153
RTL Samstag Nacht,8.2,4,[35],de,1993-11-06,60.0,,,5,146
Rabbids Invasion,7.7,97,"[16, 35, 10762]",fr,2013-08-03,22.0,,,4,312
Clarissa Explains It All,7.8,156,"[35, 10762, 10751]",en,1991-03-23,22.0,,,5,65
The Martin Lewis Money Show,5.0,1,[],en,2012-09-25,,,,14,171
Darna,9.8,5,"[10765, 10759, 18, 35]",tl,2009-08-10,30.0,,,1,140
Star Trek,8.016,1345,"[10765, 18]",en,1966-09-08,50.0,,,3,79
This Week,7.0,4,"[10767, 10763]",en,2003-01-16,60.0,,,17,583
Silent Witness,7.6,97,"[80, 18]",en,1996-02-21,60.0,,,28,258
Tu cara me suena,7.1,19,[35],es,2011-09-28,215.0,,,12,195
I Think You Should Leave with Tim Robinson,6.941,128,[35],en,2019-04-23,17.0,,,3,18
Die Drehscheibe,6.0,2,[10767],de,1964-04-01,45.0,,,19,2497
Yo soy Lorenzo,2.3,3,"[10766, 35]",es,2019-09-02,30.0,,,1,148
Kluci v akci,8.0,1,[],cs,2005-09-05,25.0,,,1,644
Tales of Zestiria the X,7.2,34,"[16, 10765]",ja,2016-07-10,23.0,,,2,25
It's Only TV,2.9,7,"[10767, 10763, 35]",fr,2010-04-01,120.0,,,15,272
SPY x FAMILY,8.551,2036,"[16, 35, 10759]",ja,2022-04-09,24.0,,,3,38
The Last Ship,6.837,972,"[10759, 18, 10765]",en,2014-06-22,41.0,,,5,56
Hipertensão,7.0,4,"[10766, 35, 18]",pt,1986-10-06,55.0,,,1,167
Evil Lives Here,7.9,35,"[80, 99]",en,2016-01-17,43.0,,,17,156
Celebrity Name Game,5.3,7,[],en,2014-09-22,,,,3,100
The Powerpuff Girls,5.2,74,"[35, 16, 10759, 10762, 10751]",en,2016-04-04,11.0,,,3,120
"Love, Death & Robots",8.2,3586,"[16, 10765]",en,2019-03-15,,,,4,45
Cómplices Al Rescate,7.573,164,"[18, 10766, 10751]",es,2002-01-07,45.0,,,1,132
Mashin Hero Wataru,6.8,10,"[16, 10759, 10762, 10765]",ja,1988-04-16,24.0,,,3,142
Quarks,9.2,4,[99],de,1993-04-14,45.0,,,1,679
The Addams Family,6.8,140,"[16, 10762, 35]",en,1992-09-12,30.0,,,2,39
Great British Menu,6.4,5,[10764],en,2006-04-10,30.0,,,15,519
Menschen bei Maischberger,6.333,3,[10767],de,2003-09-02,60.0,,,19,600
Songs of Praise,0.0,0,[],en,2001-02-04,35.0,,,12,513
Rafferty's Rules,6.0,1,"[18, 80, 35]",en,1987-02-12,50.0,,,4,86
One Day at a Time,6.717,60,[35],en,1975-12-16,24.0,,,9,210
Parlamentet,5.0,13,"[10763, 35]",sv,1999-01-18,30.0,,,35,392
How It's Made,7.631,153,[99],en,2001-01-06,30.0,,,32,416
Tom Clancy's Jack Ryan,7.684,1613,"[10759, 18, 10768]",en,2018-08-30,,,,4,30
Porus,8.583,12,"[10759, 10751]",hi,2017-11-27,25.0,,,4,247
Teppan,8.0,4,[18],ja,2010-09-27,15.0,,,1,151
The Garden Party,0.0,0,[],en,1998-07-11,60.0,,,4,152
Gangsta.,7.307,109,"[18, 10759, 16, 80]",ja,2015-07-02,23.0,,,1,12
Hvide løgne,5.5,2,[10766],da,1998-03-01,25.0,,,7,483
Vienna Crime Squad,4.6,6,[80],de,2005-10-11,45.0,,,19,279
