title,rating,votes,language,release_date,runtime,budget,revenue,genres,type,number_of_seasons,number_of_episodes
Wife's Sexual Fantasy: Before Husband's Eyes,6.7,10,ja,1980-10-25,69.0,0.0,0.0,Crime,movie,,
Two Champions of Shaolin,6.0,20,zh,1980-04-12,106.0,0.0,0.0,Action,movie,,
Two Champions of Shaolin,6.0,20,zh,1980-04-12,106.0,0.0,0.0,Drama,movie,,
Carry on Wise Guy,5.0,3,cn,1980-07-03,89.0,0.0,0.0,Action,movie,,
The Ninth Configuration,6.459,158,en,1980-02-29,118.0,0.0,0.0,Drama,movie,,
The Ninth Configuration,6.459,158,en,1980-02-29,118.0,0.0,0.0,Thriller,movie,,
The Ninth Configuration,6.459,158,en,1980-02-29,118.0,0.0,0.0,Comedy,movie,,
The Ninth Configuration,6.459,158,en,1980-02-29,118.0,0.0,0.0,Mystery,movie,,
The Ninth Configuration,6.459,158,en,1980-02-29,118.0,0.0,0.0,Horror,movie,,
Demented,3.889,27,en,1980-06-01,87.0,0.0,0.0,Crime,movie,,
Demented,3.889,27,en,1980-06-01,87.0,0.0,0.0,Horror,movie,,
Demented,3.889,27,en,1980-06-01,87.0,0.0,0.0,Thriller,movie,,
Gamera: Super Monster,5.136,55,ja,1980-03-20,92.0,0.0,0.0,Science Fiction,movie,,
Gamera: Super Monster,5.136,55,ja,1980-03-20,92.0,0.0,0.0,Family,movie,,
Gamera: Super Monster,5.136,55,ja,1980-03-20,92.0,0.0,0.0,Action,movie,,
The Flag of Iron,7.0,16,zh,1980-02-01,113.0,0.0,0.0,Action,movie,,
City of the Living Dead,6.415,404,it,1980-08-11,93.0,0.0,0.0,Horror,movie,,
The Sword,6.9,25,cn,1980-08-14,85.0,0.0,0.0,Action,movie,,
Xanadu,5.696,273,en,1980-08-08,96.0,20000000.0,22762571.0,Fantasy,movie,,
Xanadu,5.696,273,en,1980-08-08,96.0,20000000.0,22762571.0,Science Fiction,movie,,
Xanadu,5.696,273,en,1980-08-08,96.0,20000000.0,22762571.0,Romance,movie,,
Brubaker,7.063,475,en,1980-06-20,125.0,9000000.0,37121708.0,Crime,movie,,
Brubaker,7.063,475,en,1980-06-20,125.0,9000000.0,37121708.0,Drama,movie,,
Escape from Hell,4.381,21,it,1980-03-27,93.0,0.0,0.0,Adventure,movie,,
Escape from Hell,4.381,21,it,1980-03-27,93.0,0.0,0.0,Crime,movie,,
Escape from Hell,4.381,21,it,1980-03-27,93.0,0.0,0.0,Thriller,movie,,
The Rebel Intruders,6.7,13,zh,1980-09-10,99.0,0.0,0.0,Action,movie,,
Smokey and the Bandit II,5.53,299,en,1980-08-15,100.0,17000000.0,66100000.0,Action,movie,,
Smokey and the Bandit II,5.53,299,en,1980-08-15,100.0,17000000.0,66100000.0,Comedy,movie,,
We're Going to Eat You,6.3,37,cn,1980-04-02,90.0,0.0,0.0,Action,movie,,
We're Going to Eat You,6.3,37,cn,1980-04-02,90.0,0.0,0.0,Horror,movie,,
We're Going to Eat You,6.3,37,cn,1980-04-02,90.0,0.0,0.0,Comedy,movie,,
Dangerous Encounters of the First Kind,7.1,40,cn,1980-12-04,95.0,0.0,0.0,Crime,movie,,
Dangerous Encounters of the First Kind,7.1,40,cn,1980-12-04,95.0,0.0,0.0,Thriller,movie,,
Dangerous Encounters of the First Kind,7.1,40,cn,1980-12-04,95.0,0.0,0.0,Drama,movie,,
The Under-Gifted,6.446,462,fr,1980-04-30,92.0,0.0,0.0,Comedy,movie,,
The Kid with a Tattoo,5.8,4,zh,1980-06-17,97.0,0.0,0.0,Comedy,movie,,
The Kid with a Tattoo,5.8,4,zh,1980-06-17,97.0,0.0,0.0,Action,movie,,
The Kid with a Tattoo,5.8,4,zh,1980-06-17,97.0,0.0,0.0,Drama,movie,,
Hell of Roses,5.8,8,ja,1980-12-05,65.0,0.0,0.0,Drama,movie,,
Hell of Roses,5.8,8,ja,1980-12-05,65.0,0.0,0.0,Horror,movie,,
Inferno,6.624,629,it,1980-02-07,107.0,3000000.0,0.0,Horror,movie,,
Inferno,6.624,629,it,1980-02-07,107.0,3000000.0,0.0,Thriller,movie,,
Oblomov,6.198,43,ru,1980-04-01,140.0,0.0,0.0,Comedy,movie,,
Oblomov,6.198,43,ru,1980-04-01,140.0,0.0,0.0,Drama,movie,,
Oblomov,6.198,43,ru,1980-04-01,140.0,0.0,0.0,Romance,movie,,
Swift Sword,5.1,5,zh,1980-07-01,85.0,0.0,0.0,Action,movie,,
Swift Sword,5.1,5,zh,1980-07-01,85.0,0.0,0.0,Adventure,movie,,
The Convict Killer,5.5,11,zh,1980-02-28,96.0,0.0,0.0,Action,movie,,
The Convict Killer,5.5,11,zh,1980-02-28,96.0,0.0,0.0,Drama,movie,,
The Convict Killer,5.5,11,zh,1980-02-28,96.0,0.0,0.0,Mystery,movie,,
Ordinary People,7.472,646,en,1980-09-19,124.0,6000000.0,54766923.0,Drama,movie,,
Motel Hell,5.761,249,en,1980-08-14,102.0,3000000.0,6342668.0,Comedy,movie,,
Motel Hell,5.761,249,en,1980-08-14,102.0,3000000.0,6342668.0,Horror,movie,,
Humanoids from the Deep,5.7,250,en,1980-05-01,80.0,0.0,0.0,Horror,movie,,
Humanoids from the Deep,5.7,250,en,1980-05-01,80.0,0.0,0.0,Science Fiction,movie,,
Raise the Titanic,5.346,104,en,1980-08-01,115.0,36000000.0,7000000.0,Adventure,movie,,
Two Toothless Tigers,4.0,1,cn,1980-01-01,90.0,0.0,0.0,Action,movie,,
Alligator,6.066,342,en,1980-07-02,91.0,1500000.0,0.0,Horror,movie,,
Alligator,6.066,342,en,1980-07-02,91.0,1500000.0,0.0,Science Fiction,movie,,
Alligator,6.066,342,en,1980-07-02,91.0,1500000.0,0.0,Thriller,movie,,
Battle Beyond the Stars,5.4,207,en,1980-09-08,104.0,2000000.0,11000000.0,Science Fiction,movie,,
Battle Beyond the Stars,5.4,207,en,1980-09-08,104.0,2000000.0,11000000.0,Action,movie,,
Battle Beyond the Stars,5.4,207,en,1980-09-08,104.0,2000000.0,11000000.0,Adventure,movie,,
The Return of the King,6.415,206,en,1980-05-11,98.0,0.0,0.0,Animation,movie,,
The Return of the King,6.415,206,en,1980-05-11,98.0,0.0,0.0,Fantasy,movie,,
The Return of the King,6.415,206,en,1980-05-11,98.0,0.0,0.0,Adventure,movie,,
Haitoku fujin no yokujô,2.0,1,ja,1980-02-16,68.0,0.0,0.0,,movie,,
Saturn 3,5.3,203,en,1980-02-15,87.0,10000000.0,4900000.0,Science Fiction,movie,,
Saturn 3,5.3,203,en,1980-02-15,87.0,10000000.0,4900000.0,Thriller,movie,,
Killer Constable,7.184,19,zh,1980-03-28,98.0,0.0,0.0,Action,movie,,
Killer Constable,7.184,19,zh,1980-03-28,98.0,0.0,0.0,Adventure,movie,,
Killer Constable,7.184,19,zh,1980-03-28,98.0,0.0,0.0,Drama,movie,,
Super Fuzz,6.5,337,it,1980-09-18,104.0,0.0,0.0,Fantasy,movie,,
Super Fuzz,6.5,337,it,1980-09-18,104.0,0.0,0.0,Action,movie,,
Super Fuzz,6.5,337,it,1980-09-18,104.0,0.0,0.0,Comedy,movie,,
Super Fuzz,6.5,337,it,1980-09-18,104.0,0.0,0.0,Science Fiction,movie,,
Porno!,5.2,81,pt,1981-01-01,83.0,0.0,0.0,Drama,movie,,
Porno!,5.2,81,pt,1981-01-01,83.0,0.0,0.0,Horror,movie,,
Porno!,5.2,81,pt,1981-01-01,83.0,0.0,0.0,Fantasy,movie,,
Porno!,5.2,81,pt,1981-01-01,83.0,0.0,0.0,Comedy,movie,,
Raiders of the Lost Ark,7.924,12910,en,1981-06-12,115.0,18000000.0,389925971.0,Adventure,movie,,
Raiders of the Lost Ark,7.924,12910,en,1981-06-12,115.0,18000000.0,389925971.0,Action,movie,,
The Story of Linda,4.8,24,es,1981-05-29,81.0,0.0,0.0,Adventure,movie,,
The Story of Linda,4.8,24,es,1981-05-29,81.0,0.0,0.0,Crime,movie,,
The Story of Linda,4.8,24,es,1981-05-29,81.0,0.0,0.0,Drama,movie,,
Female Teacher in Rope Hell,4.5,13,ja,1981-08-27,70.0,0.0,0.0,Drama,movie,,
Female Teacher in Rope Hell,4.5,13,ja,1981-08-27,70.0,0.0,0.0,Horror,movie,,
The Fox and the Hound,7.137,3312,en,1981-07-10,82.0,12000000.0,29800000.0,Adventure,movie,,
The Fox and the Hound,7.137,3312,en,1981-07-10,82.0,12000000.0,29800000.0,Animation,movie,,
The Fox and the Hound,7.137,3312,en,1981-07-10,82.0,12000000.0,29800000.0,Drama,movie,,
The Fox and the Hound,7.137,3312,en,1981-07-10,82.0,12000000.0,29800000.0,Family,movie,,
The Evil Dead,7.278,4148,en,1981-09-10,85.0,350000.0,29612367.0,Horror,movie,,
Das Boot,8.087,2307,de,1981-09-17,150.0,14000000.0,85000000.0,Drama,movie,,
Das Boot,8.087,2307,de,1981-09-17,150.0,14000000.0,85000000.0,History,movie,,
Das Boot,8.087,2307,de,1981-09-17,150.0,14000000.0,85000000.0,War,movie,,
Mad Max 2,7.4,3898,en,1981-12-24,96.0,2000000.0,24600832.0,Adventure,movie,,
Mad Max 2,7.4,3898,en,1981-12-24,96.0,2000000.0,24600832.0,Action,movie,,
Mad Max 2,7.4,3898,en,1981-12-24,96.0,2000000.0,24600832.0,Thriller,movie,,
Mad Max 2,7.4,3898,en,1981-12-24,96.0,2000000.0,24600832.0,Science Fiction,movie,,
Morning Moon Is Cruel,3.0,2,ja,1981-06-21,98.0,0.0,0.0,Drama,movie,,
I Carabbinieri,5.1,12,it,1981-04-24,0.0,0.0,0.0,Comedy,movie,,
Possession,7.342,1184,en,1981-05-27,124.0,2400000.0,1200000.0,Horror,movie,,
The Cannonball Run,6.146,655,en,1981-06-19,95.0,18000000.0,72179579.0,Action,movie,,
The Cannonball Run,6.146,655,en,1981-06-19,95.0,18000000.0,72179579.0,Comedy,movie,,
The Cannonball Run,6.146,655,en,1981-06-19,95.0,18000000.0,72179579.0,Family,movie,,
For Your Eyes Only,6.538,1918,en,1981-06-24,128.0,28000000.0,195300000.0,Adventure,movie,,
For Your Eyes Only,6.538,1918,en,1981-06-24,128.0,28000000.0,195300000.0,Action,movie,,
For Your Eyes Only,6.538,1918,en,1981-06-24,128.0,28000000.0,195300000.0,Thriller,movie,,
An American Werewolf in London,7.413,2513,en,1981-08-21,97.0,10000000.0,31973249.0,Comedy,movie,,
An American Werewolf in London,7.413,2513,en,1981-08-21,97.0,10000000.0,31973249.0,Horror,movie,,
Friday the 13th Part 2,6.201,1761,en,1981-05-01,86.0,1250000.0,21722776.0,Horror,movie,,
Friday the 13th Part 2,6.201,1761,en,1981-05-01,86.0,1250000.0,21722776.0,Thriller,movie,,
Clash of the Titans,6.898,792,en,1981-06-12,118.0,12000000.0,41092328.0,Adventure,movie,,
Clash of the Titans,6.898,792,en,1981-06-12,118.0,12000000.0,41092328.0,Fantasy,movie,,
Clash of the Titans,6.898,792,en,1981-06-12,118.0,12000000.0,41092328.0,Action,movie,,
Stripes,6.555,941,en,1981-06-26,106.0,10000000.0,85300000.0,Action,movie,,
Stripes,6.555,941,en,1981-06-26,106.0,10000000.0,85300000.0,Comedy,movie,,
Thief,7.2,744,en,1981-03-27,123.0,5500000.0,11494812.0,Crime,movie,,
Thief,7.2,744,en,1981-03-27,123.0,5500000.0,11494812.0,Thriller,movie,,
Thief,7.2,744,en,1981-03-27,123.0,5500000.0,11494812.0,Drama,movie,,
Bonitinha mas Ordinária,4.5,23,pt,1981-03-12,105.0,0.0,0.0,Drama,movie,,
Bonitinha mas Ordinária,4.5,23,pt,1981-03-12,105.0,0.0,0.0,Thriller,movie,,
Escape from New York,7.054,3293,en,1981-05-23,99.0,6000000.0,50244700.0,Science Fiction,movie,,
Escape from New York,7.054,3293,en,1981-05-23,99.0,6000000.0,50244700.0,Action,movie,,
Uniform Virgin Pain,3.833,6,ja,1981-09-25,63.0,0.0,0.0,Drama,movie,,
Body Heat,6.96,630,en,1981-08-28,113.0,9000000.0,24058838.0,Thriller,movie,,
Body Heat,6.96,630,en,1981-08-28,113.0,9000000.0,24058838.0,Crime,movie,,
Beau Pere,6.616,129,fr,1981-09-15,123.0,0.0,0.0,Drama,movie,,
Beau Pere,6.616,129,fr,1981-09-15,123.0,0.0,0.0,Romance,movie,,
Escape to Victory,6.884,940,en,1981-06-17,116.0,10000000.0,27453418.0,Drama,movie,,
Escape to Victory,6.884,940,en,1981-06-17,116.0,10000000.0,27453418.0,War,movie,,
Private Lessons,5.8,122,en,1981-05-01,87.0,2800000.0,26279000.0,Comedy,movie,,
Private Lessons,5.8,122,en,1981-05-01,87.0,2800000.0,26279000.0,Romance,movie,,
Game of Death II,5.7,171,cn,1981-03-21,96.0,0.0,0.0,Drama,movie,,
