id,title,rating,votes,genre_ids,language,release_date,runtime,budget,revenue,popularity,overview,production_countries,production_companies,director,main_actors,source_category,type
946620,XXX,8.0,12,[],es,2014-01-01,5,0,0,1.6779,"Found footage short film piece conceived through the articulation of appropriated and recycled film fragments to conform a unified sex scene composed by different bodies, ambients and characters. Structuring a begging, a climax and an ending. It is an inquiry into the construction of (self) identity",[],[],María José Alós,[],vote_average.desc_2014,movie
511082,Black Butler: Book of Murder,8.042,60,"[9648, 16, 12, 28]",ja,2014-10-25,116,0,0,2.4495,"At the Queen’s request, Ciel and the demon butler Sebastian host an extravagant dinner party for the who’s who of the London underground. But an evening that begins with the promise of unmatched elegance quickly spirals into mayhem when their most distinguished guest is found murdered in his room. N",['Japan'],"['A-1 Pictures', 'Aniplex', 'Square Enix']",Noriyuki Abe,"['Daisuke Ono', 'Maaya Sakamoto', 'Ryohei Kimura', 'Shintaro Asanuma', 'Junichi Suwabe']",vote_average.desc_2014,movie
270926,Maidan,8.0,19,[99],uk,2014-05-21,130,0,0,0.9492,"A chronicle of the civil uprising against the regime of Ukrainian president Viktor Yanukovych that took place in Kyiv in the winter of 2013/14. The film follows the progress of the revolution: from peaceful rallies, half a million strong in the Maidan square, to the bloody street battles between pro","['Netherlands', 'Ukraine']",['Atoms & Void'],Sergei Loznitsa,[],vote_average.desc_2014,movie
281992,Sathuranga Vettai,8.0,21,"[80, 53, 35]",ta,2014-07-18,145,0,0,0.3232,"A con artist is caught by the cops and is swindled off the money by his own partners. Meanwhile, a person who he had scammed hires a gangster to finish him off. Can he outwit these people and turn over a new leaf?",['India'],"[""Manobala's Picture House""]",H. Vinoth,"['Natarajan Subramaniam', 'Ishara Nair', 'Ponvannan', 'Ilavarasu', 'Piraisoodan']",vote_average.desc_2014,movie
110416,Song of the Sea,8.015,1468,"[10751, 16, 14]",en,2014-06-23,94,0,857522,2.7006,"The story of the last Seal Child’s journey home. After their mother’s disappearance, Ben and Saoirse are sent to live with Granny in the city. When they resolve to return to their home by the sea, their journey becomes a race against time as they are drawn into a world Ben knows only from his mother","['Ireland', 'Luxembourg', 'Belgium', 'Denmark']","['Cartoon Saloon', 'Melusine Productions', 'The Big Farm']",Tomm Moore,"['David Rawle', 'Brendan Gleeson', 'Lisa Hannigan', 'Fionnula Flanagan', ""Lucy O'Connell""]",vote_average.desc_2014,movie
268690,The Legend of the Guanajuato Mummies,8.007,146,"[16, 27, 12, 35, 10751]",es,2014-10-30,84,1300000,6300000,1.8734,"Three friends confront a horde of mummies, who have inexplicably awakened, and try to rescue their pal, not realizing they have fallen into a trap.",['Mexico'],"['Ánima Estudios', 'Videocine']",Alberto Rodríguez,"['Benny Emmanuel', 'Mayté Cordero', 'Eduardo España', 'Rafael Inclán', 'Andrés Couturier']",vote_average.desc_2014,movie
394046,Winston Churchill: A Giant in the Century,8.0,10,"[99, 36, 10752, 10770]",fr,2014-10-20,92,0,0,0.3749,"A new look at the public and private life of one of the most important statesmen in the history of Europe: Winston Churchill (1874-1965), soldier, politician, writer, painter, leader of his country in the darkest hours, winner of the Nobel Prize in Literature, a myth, a giant of the 20th century.","['Belgium', 'Canada', 'France', 'Switzerland']","['Roche Productions', 'France Télévisions', 'ARTE']",David Korn-Brzoza,"['Vincent Lindon', 'Winston Churchill', 'Clementine Churchill', 'Diana Churchill', 'Mary Churchill']",vote_average.desc_2014,movie
312149,Russell Brand: End the Drugs War,8.0,10,[99],en,2014-12-17,57,0,0,0.1839,"In this personal journey for BBC Three, Russell Brand sets out to find out how other countries are tackling their problems of drug abuse and to explore how the framework of criminalization implicit in the 'war on drugs' produces enormous harm in the treatment of addicts.",['United Kingdom'],[],Ross Wilson,"['Russell Brand', 'João Goulão', 'Benjamin Mancroft', 'Neil McKeganey', 'Noreen Oliver']",vote_average.desc_2014,movie
929131,Morning,8.0,18,[],ja,2014-09-01,4,0,0,0.5796,A pensioner takes a walk in the park.,[],[],Takeshi Kitano,['Takeshi Kitano'],vote_average.desc_2014,movie
787561,ME!ME!ME!,8.0,136,"[16, 10402]",ja,2014-11-21,7,0,0,0.2153,"An anime-obsessed young man fantasizes about his favorite voluptuous heroines, but his sex-addled dream quickly transforms into a nightmare which threatens to consume him.",['Japan'],['khara'],Hibiki Yoshizaki,"['Koichi Yamadera', 'Megumi Hayashibara']",vote_average.desc_2014,movie
271709,Initial D Legend 1: Awakening,8.0,73,"[16, 28]",ja,2014-08-24,62,0,715443,1.5156,The first of the three part theatrical film remake of Initial D First Stage. High school student Takumi Fujiwara works as a gas station attendant during the day and a delivery boy for his father's tofu shop during late nights. Little does he know that his precise driving skills and his father's modi,['Japan'],"['Ultra Super Pictures', 'Avex Entertainment', 'avex pictures']",Masamitsu Hidaka,"['Mamoru Miyano', 'Yuichi Nakamura', 'Daisuke Ono', 'Maaya Uchida', 'Minoru Shiraishi']",vote_average.desc_2014,movie
